metric,value
cases,8
temperature_drop_K_min,0.01287712827888754
temperature_drop_K_max,0.01287712827888754
first_below_1500_year_min,
first_below_1500_year_max,
final_temperature_K_min,2799.987122871721
final_temperature_K_max,2799.987122871721
final_nitrogen_kg_min,2.3466648081327367e+21
final_nitrogen_kg_max,2.3466648081327367e+21
nitrogen_residual_fraction_min,0.9985807694181859
nitrogen_residual_fraction_max,0.9985807694181859
final_ar36_kg_min,5.4839497206545266e-14
final_ar36_kg_max,5.4839497206545266e-14
ar36_retained_fraction_min,1.0967899441309053e-29
ar36_retained_fraction_max,1.0967899441309053e-29
final_d_h_min,0.00019578373044934328
final_d_h_max,0.0001984596986013621
d_h_over_smow_min,1.2566349836286477
d_h_over_smow_max,1.2738106457083576
max_crossover_mass_amu_min,123.71040928693867
max_crossover_mass_amu_max,123.71040928693867
