x_nh3,delta_iw,status,reason,hcn_final_mol,h2_pressure_bar
0.005,-3,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.005,-2,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.005,-1,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.005,0,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.01,-3,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.01,-2,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.01,-1,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.01,0,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.025,-3,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.025,-2,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.025,-1,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.025,0,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.05,-3,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.05,-2,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.05,-1,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
0.05,0,aborted,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.,0.0,
