x_nh3,delta_iw,status,hcn_final_mol,h2_pressure_bar
0.005,-3,success,8.793354694052326e+16,19.578846421979772
0.005,-2,success,9.18970173050298e+16,19.578843345489645
0.005,-1,success,1.0620641774398155e+17,19.578832238372623
0.005,0,success,1.3713177580029451e+17,19.578808233763056
0.01,-3,success,1.2140886625842848e+17,39.11881683433544
0.01,-2,success,1.239341942293373e+17,39.118814874147525
0.01,-1,success,1.3305241092422546e+17,39.11880779648552
0.01,0,success,1.527784237974007e+17,39.118792484933195
0.025,-3,success,1.5347375298333555e+17,97.73878113403208
0.025,-2,success,1.5458209480556765e+17,97.73878027372477
0.025,-1,success,1.586079822070625e+17,97.73877714878583
0.025,0,success,1.6750040437679312e+17,97.73877024638784
0.05,-3,success,1.6660151002865517e+17,195.43875292548836
0.05,-2,success,1.6714643993849277e+17,195.43875250250778
0.05,-1,success,1.6913820473474634e+17,195.43875095647726
0.05,0,success,1.7362926883017898e+17,195.4387474704636
