time_s,temperature_K,pressure_Pa,quench_active,NH3_mol,N2_mol,H2_mol,CO2_mol,CO_mol,H2O_mol,Fe_mol,FeO_mol,CN_mol,HCN_mol,H2S_mol,HS_mol,cumulative_H2_from_NH3_mol,cumulative_H2_from_Fe_H2O_mol,cumulative_N2_from_NH3_mol
0.0,2800.0,298875739.68200165,0,1.974396553951377e+23,0.0,0.0,9.997841375157636e+19,0.0,5.550843506179199e+22,1.0027755394395202e+20,0.0,0.0,0.0,9.976262363963394e+16,0.0,0.0,0.0,0.0
3158918918.918919,2797.4219963037053,298782973.49479043,0,2.9615948309270656e+22,8.391185354293352e+22,2.5175650591169768e+23,9.994856819761006e+19,2.9845553966308804e+16,5.54874897788949e+22,7.930242549289525e+19,2.097512845105678e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,2.094528289709047e+19,8.391185354293352e+22
6317837837.837838,2794.8439926074107,298690208.2638366,0,2.9615948309270656e+22,8.391185354293352e+22,2.517664628762527e+23,9.993288480448265e+19,4.552894709371941e+16,5.547753281433987e+22,6.932977754474467e+19,3.0947776399207363e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,3.090224745211364e+19,8.391185354293352e+22
9476756756.756758,2792.265988911116,298597444.4109573,0,2.9615948309270656e+22,8.391185354293352e+22,2.5177516614427712e+23,9.991917546906478e+19,5.923828251158914e+16,5.5468829546315445e+22,6.061280018490321e+19,3.966475375904883e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,3.960551547653723e+19,8.391185354293352e+22
12635675675.675676,2789.6879852148213,298504682.3577401,0,2.9615948309270656e+22,8.391185354293352e+22,2.5178277393859048e+23,9.990719121131287e+19,7.122254026350155e+16,5.546122175200209e+22,5.299302161380326e+19,4.728453233014878e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,4.721330978988528e+19,8.391185354293352e+22
15794594594.594597,2787.1099815185266,298411922.5255379,0,2.9615948309270656e+22,8.391185354293352e+22,2.517894244268055e+23,9.989671457342022e+19,8.169917815615446e+16,5.545457126378707e+22,4.633205676088282e+19,5.394549718306922e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,5.386379800491306e+19,8.391185354293352e+22
18953513513.513515,2784.531977822232,298319165.3354621,0,2.9615948309270656e+22,8.391185354293352e+22,2.5179523828378857e+23,9.988755560083197e+19,9.085815074439672e+16,5.544875740680401e+22,4.05090408052363e+19,5.976851313871574e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,5.967765498797134e+19,8.391185354293352e+22
22112432432.432434,2781.9539741259373,298226411.2083767,0,2.9615948309270656e+22,8.391185354293352e+22,2.5180032092192215e+23,9.98795483422678e+19,9.88654093085608e+16,5.544367476867043e+22,3.541839541309263e+19,6.485915853085941e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,6.476029312155084e+19,8.391185354293352e+22
25271351351.351353,2779.3759704296426,298133660.564892,0,2.9615948309270656e+22,8.391185354293352e+22,2.518047644333552e+23,9.987254780018483e+19,1.0586595139153466e+17,5.543923125723738e+22,3.096788343796007e+19,6.930967050599197e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,6.920380455460043e+19,8.391185354293352e+22
28430270270.27027,2776.797966733348,298040913.8253588,0,2.9615948309270656e+22,8.391185354293352e+22,2.5180864928229086e+23,9.986642727252954e+19,1.119864790468169e+17,5.54353464083017e+22,2.7076913974631465e+19,7.3200639969320575e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,7.3088653490273755e+19,8.391185354293352e+22
