time_s,temperature_K,pressure_Pa,quench_active,NH3_mol,N2_mol,H2_mol,CO2_mol,CO_mol,H2O_mol,Fe_mol,FeO_mol,CN_mol,HCN_mol,H2S_mol,HS_mol,cumulative_H2_from_NH3_mol,cumulative_H2_from_Fe_H2O_mol,cumulative_N2_from_NH3_mol
0.0,2800.0,298875739.68200165,0,3.948793107902754e+23,0.0,0.0,9.997841375157636e+19,0.0,5.550843506179199e+22,1.0027755394395202e+20,0.0,0.0,0.0,9.976262363963394e+16,0.0,0.0,0.0,0.0
3158918918.918919,2797.4219963037053,298782973.49479043,0,1.3820775877659643e+23,1.2833577600683949e+23,3.8501350467062496e+23,9.996797399621529e+19,1.0439755361069892e+16,5.550225841168548e+22,9.409046408209067e+19,6.187089861861339e+18,0.0,0.0,9.976262363963394e+16,0.0,3.8500732802051846e+23,6.176650106500269e+18,1.2833577600683949e+23
6317837837.837838,2794.8439926074107,298690208.2638366,0,5.923189661854131e+22,1.6782370708586705e+23,5.0348098978609e+23,9.996158527927196e+19,1.6828472304404252e+16,5.549856653330319e+22,9.03921969828537e+19,9.885356961098314e+18,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,9.868528488793911e+18,1.6782370708586705e+23
9476756756.756758,2792.265988911116,298597444.4109573,0,5.923189661854131e+22,1.6782370708586705e+23,5.034841800752958e+23,9.995604187607654e+19,2.23718754998225e+16,5.549537624409733e+22,8.719636437380078e+19,1.3081189570151234e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,1.3058817694651412e+19,1.6782370708586705e+23
12635675675.675676,2789.6879852148213,298504682.3577401,0,5.923189661854131e+22,1.6782370708586705e+23,5.034872573943377e+23,9.995069474620942e+19,2.7719005366952572e+16,5.5492298925055465e+22,8.411369820206862e+19,1.6163855741883408e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,1.6136136736516456e+19,1.6782370708586705e+23
15794594594.594597,2787.1099815185266,298411922.5255379,0,5.923189661854131e+22,1.6782370708586705e+23,5.034902257558469e+23,9.994553691969602e+19,3.2876831880350556e+16,5.548933056354623e+22,8.114017886631705e+19,1.913737507763497e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,1.9104498245754618e+19,1.6782370708586705e+23
18953513513.513515,2784.531977822232,298319165.3354621,0,5.923189661854131e+22,1.6782370708586705e+23,5.0349308902907544e+23,9.99405616755067e+19,3.785207606967011e+16,5.548646729031774e+22,7.827193039363472e+19,2.2005623550317298e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,2.1967771474247627e+19,1.6782370708586705e+23
22112432432.432434,2781.9539741259373,298226411.2083767,0,5.923189661854131e+22,1.6782370708586705e+23,5.0349585094507806e+23,9.993576253256596e+19,4.265121901040082e+16,5.548370537431515e+22,7.550521524810103e+19,2.4772338695850967e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,2.4729687476840567e+19,1.6782370708586705e+23
25271351351.351353,2779.3759704296426,298133660.564892,0,5.923189661854131e+22,1.6782370708586705e+23,5.034985151017036e+23,9.993113324109332e+19,4.728051048303525e+16,5.548104121768961e+22,7.2836429331096355e+19,2.7441124612855644e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,2.739384410237261e+19,1.6782370708586705e+23
28430270270.27027,2776.797966733348,298040913.8253588,0,5.923189661854131e+22,1.6782370708586705e+23,5.035010849684019e+23,9.9926667774263e+19,5.1745977313365064e+16,5.547847135099134e+22,7.026209716599565e+19,3.0015456777956348e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,2.996371080064298e+19,1.6782370708586705e+23
31589189189.189194,2774.2199630370533,297948171.4098622,0,5.923189661854131e+22,1.6782370708586705e+23,5.035035638908536e+23,9.992236032017028e+19,5.605343140608792e+16,5.547599242853962e+22,6.777886726018345e+19,3.2498686683768545e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,3.2442633252362457e+19,1.6782370708586705e+23
34748108108.10811,2771.6419593407586,297855433.73821574,0,5.923189661854131e+22,1.6782370708586705e+23,5.035059550954301e+23,9.991820527409296e+19,6.020847748341179e+16,5.547360122396313e+22,6.538350763761583e+19,3.489404630633617e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,3.4833837828852756e+19,1.6782370708586705e+23
37907027027.02703,2769.063955644464,297762701.22995526,0,5.923189661854131e+22,1.6782370708586705e+23,5.035082616934892e+23,9.99141972310365e+19,6.421652053987025e+16,5.5471294625904e+22,6.307290153543066e+19,3.720465240852134e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,3.714043588798148e+19,1.6782370708586705e+23
41065945945.94595,2766.4859519481693,297669974.3043332,0,5.923189661854131e+22,1.6782370708586705e+23,5.035104866855138e+23,9.991033097855225e+19,6.808277302411001e+16,5.5469069633879424e+22,6.08440432583705e+19,3.94335106855815e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,3.93654279125574e+19,1.6782370708586705e+23
44224864864.86487,2763.9079482518746,297577253.3803126,0,5.923189661854131e+22,1.6782370708586705e+23,5.035126329650984e+23,9.990660148981839e+19,7.181226175798004e+16,5.546692335429482e+22,5.86940341850339e+19,4.15835197589181e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,4.151170749716012e+19,1.6782370708586705e+23
47383783783.78379,2761.32994455558,297484538.8765614,0,5.923189661854131e+22,1.6782370708586705e+23,5.0351470332279034e+23,9.990300391697352e+19,7.540983460283819e+16,5.546485299660284e+22,5.662007892021106e+19,4.365747502374094e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,4.3582065189138104e+19,1.6782370708586705e+23
50542702702.702705,2758.7519408592852,297391831.2114463,0,5.923189661854131e+22,1.6782370708586705e+23,5.035167004497905e+23,9.989953358469377e+19,7.888016688259616e+16,5.5462855869602694e+22,5.461948158778974e+19,4.565807235616226e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,4.557919218927967e+19,1.6782370708586705e+23
53701621621.62162,2756.1739371629906,297299130.8030276,0,5.923189661854131e+22,1.6782370708586705e+23,5.035186269415187e+23,9.989618598400372e+19,8.22277675726456e+16,5.546092937787453e+22,5.268964225893705e+19,4.7587911685014946e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,4.75056839174423e+19,1.6782370708586705e+23
56860540540.54054,2753.595933466696,297206438.0690528,0,5.923189661854131e+22,1.6782370708586705e+23,5.035204853010494e+23,9.989295676631292e+19,8.545698526344635e+16,5.545907101834376e+22,5.082805351047288e+19,4.944950043347912e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,4.9364043448215675e+19,1.6782370708586705e+23
60019459459.459465,2751.017929770401,297113753.4269516,0,5.923189661854131e+22,1.6782370708586705e+23,5.035222779424227e+23,9.988984173766917e+19,8.857201390721158e+16,5.545727837697048e+22,4.903229710855195e+19,5.124525683540005e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,5.115668482149284e+19,1.6782370708586705e+23
63178378378.37839,2748.4399260741066,297021077.2938297,0,5.923189661854131e+22,1.6782370708586705e+23,5.0352400719383385e+23,9.988683685322059e+19,9.157689835579325e+16,5.545554912555934e+22,4.730004081296407e+19,5.297751313098793e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,5.288593623263214e+19,1.6782370708586705e+23
