time_s,temperature_K,pressure_Pa,quench_active,NH3_mol,N2_mol,H2_mol,CO2_mol,CO_mol,H2O_mol,Fe_mol,FeO_mol,CN_mol,HCN_mol,H2S_mol,HS_mol,cumulative_H2_from_NH3_mol,cumulative_H2_from_Fe_H2O_mol,cumulative_N2_from_NH3_mol
0.0,2800.0,298875739.68200165,0,3.948793107902753e+22,0.0,0.0,9.997841375157636e+19,0.0,5.550843506179199e+22,1.0027755394395202e+20,0.0,0.0,0.0,9.976262363963394e+16,0.0,0.0,0.0,0.0
3158918918.918919,2797.4219963037053,298782973.49479043,0,1.382077587765964e+22,1.2833577600683946e+22,3.8529968315533e+22,9.994110852522225e+19,3.7305226354111896e+16,5.547919954831082e+22,7.100473523643068e+19,2.927281870752133e+19,0.0,0.0,9.976262363963394e+16,0.0,3.850073280205184e+22,2.923551348116722e+19,1.2833577600683946e+22
6317837837.837838,2794.8439926074107,298690208.2638366,0,5.923189661854129e+21,1.6782370708586702e+22,5.039264401318885e+22,9.991848963194644e+19,5.992411962991506e+16,5.546290317436324e+22,5.468574239557033e+19,4.5591811548381676e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,4.553188742875177e+19,1.6782370708586702e+22
9476756756.756758,2792.265988911116,298597444.4109573,0,5.923189661854129e+21,1.6782370708586702e+22,5.040442172197705e+22,9.990184138253378e+19,7.657236904257422e+16,5.545112546557504e+22,4.289138535796079e+19,5.738616858599122e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,5.730959621694865e+19,1.6782370708586702e+22
12635675675.675676,2789.6879852148213,298504682.3577401,0,5.923189661854129e+21,1.6782370708586702e+22,5.041365730974585e+22,9.98887851618817e+19,8.962858969465894e+16,5.544188987780624e+22,3.364274136850886e+19,6.663481257544315e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,6.65451839857485e+19,1.6782370708586702e+22
15794594594.594597,2787.1099815185266,298411922.5255379,0,5.923189661854129e+21,1.6782370708586702e+22,5.042090022666566e+22,9.987854511674194e+19,9.98686348344186e+16,5.543464696088643e+22,2.638958440356079e+19,7.38879695403912e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,7.37881009055568e+19,1.6782370708586702e+22
18953513513.513515,2784.531977822232,298319165.3354621,0,5.923189661854129e+21,1.6782370708586702e+22,5.042658087543081e+22,9.987051329452722e+19,1.0790045704914888e+17,5.542896631212128e+22,2.0700903816193757e+19,7.957665012775823e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,7.94687496707091e+19,1.6782370708586702e+22
22112432432.432434,2781.9539741259373,298226411.2083767,0,5.923189661854129e+21,1.6782370708586702e+22,5.043103651639262e+22,9.986421318462462e+19,1.1420056695175109e+17,5.5424510671159474e+22,1.623896274448787e+19,8.403859119946411e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,8.392439063251239e+19,1.6782370708586702e+22
25271351351.351353,2779.3759704296426,298133660.564892,0,5.923189661854129e+21,1.6782370708586702e+22,5.0434531492843395e+22,9.98592712239962e+19,1.1914252758017078e+17,5.54210156947087e+22,1.2739044333082632e+19,8.753850961086934e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,8.741936708328921e+19,1.6782370708586702e+22
28430270270.27027,2776.797966733348,298040913.8253588,0,5.923189661854129e+21,1.6782370708586702e+22,5.043727303817027e+22,9.985539450910292e+19,1.2301924247345798e+17,5.541827414938182e+22,9.993622291314172e+18,9.02839316526378e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760105e+22,9.01609124101644e+19,1.6782370708586702e+22
