metric,value
atmosphere.cases,8
atmosphere.temperature_drop_K_min,2500.0
atmosphere.temperature_drop_K_max,2500.0
atmosphere.first_below_1500_year_min,50550.55055055056
atmosphere.first_below_1500_year_max,50550.55055055056
atmosphere.final_temperature_K_min,300.0
atmosphere.final_temperature_K_max,300.0
atmosphere.final_nitrogen_kg_min,4.3224736973449364e+18
atmosphere.final_nitrogen_kg_max,4.3224736973449364e+18
atmosphere.nitrogen_residual_fraction_min,0.0018393505095084836
atmosphere.nitrogen_residual_fraction_max,0.0018393505095084836
atmosphere.final_ar36_kg_min,51137255598701.125
atmosphere.final_ar36_kg_max,51137255598701.125
atmosphere.ar36_retained_fraction_min,0.010227451119740225
atmosphere.ar36_retained_fraction_max,0.010227451119740225
atmosphere.final_d_h_min,0.00014683682131504366
atmosphere.final_d_h_max,0.00014743363808656312
atmosphere.d_h_over_smow_min,0.9424699699296769
atmosphere.d_h_over_smow_max,0.9463006295671574
atmosphere.max_crossover_mass_amu_min,564603.1225622032
atmosphere.max_crossover_mass_amu_max,564603.1225622032
chemistry.cases_total,16
chemistry.cases_successful,16
chemistry.hcn_positive_cases,16
chemistry.hcn_final_mol_min,8.793354694052326e+16
chemistry.hcn_final_mol_max,1.7362926883017898e+17
chemistry.h2_pressure_bar_by_x_nh3.0.005,19.578837791931136
chemistry.h2_pressure_bar_by_x_nh3.0.010,39.11881133531652
chemistry.h2_pressure_bar_by_x_nh3.0.025,97.73877871125529
chemistry.h2_pressure_bar_by_x_nh3.0.050,195.43875172949254
