time_s,temperature_K,pressure_Pa,quench_active,NH3_mol,N2_mol,H2_mol,CO2_mol,CO_mol,H2O_mol,Fe_mol,FeO_mol,CN_mol,HCN_mol,H2S_mol,HS_mol,cumulative_H2_from_NH3_mol,cumulative_H2_from_Fe_H2O_mol,cumulative_N2_from_NH3_mol
0.0,2800.0,298875739.68200165,0,7.897586215805506e+22,0.0,0.0,9.997841375157636e+19,0.0,5.550843506179199e+22,1.0027755394395202e+20,0.0,0.0,0.0,9.976262363963394e+16,0.0,0.0,0.0,0.0
3158918918.918919,2797.4219963037053,298782973.49479043,0,2.764155175531928e+22,2.566715520136789e+22,7.702212961432803e+22,9.994886459493573e+19,2.954915664062959e+16,5.548777105156763e+22,7.958399456295146e+19,2.0693559381000544e+19,0.0,0.0,9.976262363963394e+16,0.0,7.700146560410367e+22,2.0664010224359916e+19,2.566715520136789e+22
6317837837.837838,2794.8439926074107,298690208.2638366,0,1.1846379323708259e+22,3.3564741417173403e+22,1.0072675785393583e+23,9.993067296137378e+19,4.7740790202568824e+16,5.547590145937637e+22,6.769621073813361e+19,3.2581343205818405e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,3.2533602415615836e+19,3.3564741417173403e+22
9476756756.756758,2792.265988911116,298597444.4109573,0,1.1846379323708259e+22,3.3564741417173403e+22,1.007360622277387e+23,9.991621625461806e+19,6.219749695829088e+16,5.546659708557351e+22,5.83773802285145e+19,4.190017371543752e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,4.183797621847923e+19,3.3564741417173403e+22
12635675675.675676,2789.6879852148213,298504682.3577401,0,1.1846379323708259e+22,3.3564741417173403e+22,1.0074408444733064e+23,9.990375107942074e+19,7.466267215560976e+16,5.545857486598156e+22,5.034269546136623e+19,4.993485848258579e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,4.986019581043018e+19,3.3564741417173403e+22
15794594594.594597,2787.1099815185266,298411922.5255379,0,1.1846379323708259e+22,3.3564741417173403e+22,1.0075100153996725e+23,9.989300262367404e+19,8.541112790231253e+16,5.545165777334494e+22,4.3414854369005175e+19,5.686269957494684e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,5.6777288447044534e+19,3.3564741417173403e+22
18953513513.513515,2784.531977822232,298319165.3354621,0,1.1846379323708259e+22,3.3564741417173403e+22,1.0075696600236081e+23,9.988373411507993e+19,9.467963649641715e+16,5.544569331095139e+22,3.744112346685452e+19,6.283643047709749e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,6.274175084060108e+19,3.3564741417173403e+22
22112432432.432434,2781.9539741259373,298226411.2083767,0,1.1846379323708259e+22,3.3564741417173403e+22,1.0076210922248483e+23,9.987574152532047e+19,1.026722262558728e+17,5.544055009082736e+22,3.2289910753066504e+19,6.798764319088551e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,6.788497096462965e+19,3.3564741417173403e+22
25271351351.351353,2779.3759704296426,298133660.564892,0,1.1846379323708259e+22,3.3564741417173403e+22,1.007665444182841e+23,9.986884901925252e+19,1.0956473232382315e+17,5.543611489502807e+22,2.784782244771821e+19,7.2429731496233796e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,7.232016676390999e+19,3.3564741417173403e+22
28430270270.27027,2776.797966733348,298040913.8253588,0,1.1846379323708259e+22,3.3564741417173403e+22,1.0077036916296511e+23,9.986290504234245e+19,1.1550870923390206e+17,5.543229015034707e+22,2.4017133789800223e+19,7.626042015415178e+19,0.0,0.0,9.976262363963394e+16,0.0,1.0069422425152021e+23,7.61449114449179e+19,3.3564741417173403e+22
