time_s,temperature_K,pressure_Pa,quench_active,NH3_mol,N2_mol,H2_mol,CO2_mol,CO_mol,H2O_mol,Fe_mol,FeO_mol,CN_mol,HCN_mol,H2S_mol,HS_mol,cumulative_H2_from_NH3_mol,cumulative_H2_from_Fe_H2O_mol,cumulative_N2_from_NH3_mol
0.0,2800.0,298875739.68200165,0,3.948793107902754e+23,0.0,0.0,9.997841375157636e+19,0.0,5.550843506179199e+22,1.0027755394395202e+20,0.0,0.0,0.0,9.976262363963394e+16,0.0,0.0,0.0,0.0
3158918918.918919,2797.4219963037053,298782973.49479043,0,5.923189661854131e+22,1.6782370708586705e+23,5.034833388328134e+23,9.995908930237433e+19,1.9324449202021428e+16,5.549621748657972e+22,8.804065428248818e+19,1.2236899661463828e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,1.2217575212261806e+19,1.6782370708586705e+23
6317837837.837838,2794.8439926074107,298690208.2638366,0,5.923189661854131e+22,1.6782370708586705e+23,5.034894848817287e+23,9.994879191732083e+19,2.96218342555302e+16,5.549007143766445e+22,8.188430798215853e+19,1.8393245961793485e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,1.836362412753795e+19,1.6782370708586705e+23
9476756756.756758,2792.265988911116,298597444.4109573,0,5.923189661854131e+22,1.6782370708586705e+23,5.034952005278831e+23,9.993921549605388e+19,3.919825552247983e+16,5.548435579151003e+22,7.615908540646828e+19,2.411846853748374e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,2.4079270281961255e+19,1.6782370708586705e+23
12635675675.675676,2789.6879852148213,298504682.3577401,0,5.923189661854131e+22,1.6782370708586705e+23,5.0350051599744376e+23,9.993030942772214e+19,4.810432385421379e+16,5.547904032194943e+22,7.083470977753336e+19,2.9442844166418657e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,2.939473984256444e+19,1.6782370708586705e+23
15794594594.594597,2787.1099815185266,298411922.5255379,0,5.923189661854131e+22,1.6782370708586705e+23,5.035054593823412e+23,9.992202667225658e+19,5.638707931976675e+16,5.547409693705198e+22,6.588304212461868e+19,3.4394511819333345e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,3.4338124740013572e+19,1.6782370708586705e+23
18953513513.513515,2784.531977822232,298319165.3354621,0,5.923189661854131e+22,1.6782370708586705e+23,5.035100567925193e+23,9.991432350601809e+19,6.4090245558249336e+16,5.546949952687388e+22,6.127792878027772e+19,3.8999625163674305e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,3.893553491811605e+19,1.6782370708586705e+23
22112432432.432434,2781.9539741259373,298226411.2083767,0,5.923189661854131e+22,1.6782370708586705e+23,5.035143324971147e+23,9.99071592858885e+19,7.125446568784411e+16,5.54652238222785e+22,5.699505996476991e+19,4.328249397918211e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,4.3211239513494266e+19,1.6782370708586705e+23
25271351351.351353,2779.3759704296426,298133660.564892,0,5.923189661854131e+22,1.6782370708586705e+23,5.035183090553994e+23,9.990049623042407e+19,7.79175211522767e+16,5.54612472639938e+22,5.3011838624598565e+19,4.726571531935346e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,4.718779779820118e+19,1.6782370708586705e+23
28430270270.27027,2776.797966733348,298040913.8253588,0,5.923189661854131e+22,1.6782370708586705e+23,5.035220074382529e+23,9.989429921679986e+19,8.411453477649355e+16,5.545754888114028e+22,4.930725875745109e+19,5.0970295186500936e+19,0.0,0.0,9.976262363963394e+16,0.0,5.0347112125760115e+23,5.088618065172444e+19,1.6782370708586705e+23
