thermal_label,x_NH3,delta_IW,reason
oat_c_eff_04,0.005,-3,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.005,-2,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.005,-1,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.005,0,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.01,-3,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.01,-2,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.01,-1,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.01,0,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.025,-3,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.025,-2,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.025,-1,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.025,0,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.05,-3,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.05,-2,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.05,-1,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
oat_c_eff_04,0.05,0,Stage-3 P-T trajectory never entered the chemistry quench window T < 1500.0 K. Stage 5 aborted to prevent downstream thermal contamination.
