thermal_label,x_NH3,delta_IW,first_quench_year,HCN_final_mol,H2_final_mol,H2_pressure_bar
oat_c_eff_00,0.005,-3,50550.55055055056,8.793354694052326e+16,5.044721381261016e+22,19.578846421979772
oat_c_eff_00,0.005,-2,50550.55055055056,9.18970173050298e+16,5.044720588566943e+22,19.578843345489645
oat_c_eff_00,0.005,-1,50550.55055055056,1.0620641774398155e+17,5.0447177266868555e+22,19.578832238372623
oat_c_eff_00,0.005,0,50550.55055055056,1.3713177580029451e+17,5.044711541615246e+22,19.578808233763056
oat_c_eff_00,0.01,-3,50550.55055055056,1.2140886625842848e+17,1.0079425898773174e+23,39.11881683433544
oat_c_eff_00,0.01,-2,50550.55055055056,1.239341942293373e+17,1.007942539370757e+23,39.118814874147525
oat_c_eff_00,0.01,-1,50550.55055055056,1.3305241092422546e+17,1.0079423570064231e+23,39.11880779648552
oat_c_eff_00,0.01,0,50550.55055055056,1.527784237974007e+17,1.0079419624861652e+23,39.118792484933195
oat_c_eff_00,0.025,-3,50550.55055055056,1.5347375298333555e+17,2.5183553123523855e+23,97.73878113403208
oat_c_eff_00,0.025,-2,50550.55055055056,1.5458209480556765e+17,2.51835529018555e+23,97.73878027372477
oat_c_eff_00,0.025,-1,50550.55055055056,1.586079822070625e+17,2.5183552096678014e+23,97.73877714878583
oat_c_eff_00,0.025,0,50550.55055055056,1.6750040437679312e+17,2.5183550318193532e+23,97.73877024638784
oat_c_eff_00,0.05,-3,50550.55055055056,1.6660151002865517e+17,5.0357106560852454e+23,195.43875292548836
oat_c_eff_00,0.05,-2,50550.55055055056,1.6714643993849277e+17,5.0357106451866505e+23,195.43875250250778
oat_c_eff_00,0.05,-1,50550.55055055056,1.6913820473474634e+17,5.035710605351345e+23,195.43875095647726
oat_c_eff_00,0.05,0,50550.55055055056,1.7362926883017898e+17,5.03571051553008e+23,195.4387474704636
oat_c_eff_01,0.005,-3,55555.55555555556,8.793354694052325e+16,5.044721381261015e+22,19.578846421979765
oat_c_eff_01,0.005,-2,55555.55555555556,9.189701730502976e+16,5.044720588566942e+22,19.57884334548964
oat_c_eff_01,0.005,-1,55555.55555555556,1.0620641774398155e+17,5.0447177266868555e+22,19.578832238372623
oat_c_eff_01,0.005,0,55555.55555555556,1.3713177580029456e+17,5.044711541615247e+22,19.578808233763056
oat_c_eff_01,0.01,-3,55555.55555555556,1.2140886625842845e+17,1.0079425898773174e+23,39.11881683433544
oat_c_eff_01,0.01,-2,55555.55555555556,1.2393419422933726e+17,1.0079425393707568e+23,39.11881487414752
oat_c_eff_01,0.01,-1,55555.55555555556,1.330524109242255e+17,1.0079423570064231e+23,39.11880779648552
oat_c_eff_01,0.01,0,55555.55555555556,1.527784237974008e+17,1.0079419624861654e+23,39.1187924849332
oat_c_eff_01,0.025,-3,55555.55555555556,1.5347375298333558e+17,2.5183553123523855e+23,97.73878113403208
oat_c_eff_01,0.025,-2,55555.55555555556,1.545820948055677e+17,2.5183552901855496e+23,97.73878027372476
oat_c_eff_01,0.025,-1,55555.55555555556,1.5860798220706253e+17,2.518355209667801e+23,97.73877714878581
oat_c_eff_01,0.025,0,55555.55555555556,1.67500404376793e+17,2.5183550318193542e+23,97.73877024638793
oat_c_eff_01,0.05,-3,55555.55555555556,1.6660151002865526e+17,5.035710656085245e+23,195.4387529254883
oat_c_eff_01,0.05,-2,55555.55555555556,1.671464399384927e+17,5.035710645186651e+23,195.43875250250778
oat_c_eff_01,0.05,-1,55555.55555555556,1.691382047347463e+17,5.0357106053513476e+23,195.43875095647735
oat_c_eff_01,0.05,0,55555.55555555556,1.7362926883018483e+17,5.035710515530074e+23,195.43874747046337
oat_c_eff_02,0.005,-3,63163.16316316317,8.793354694052325e+16,5.044721381261015e+22,19.578846421979765
oat_c_eff_02,0.005,-2,63163.16316316317,9.18970173050298e+16,5.0447205885669445e+22,19.578843345489652
oat_c_eff_02,0.005,-1,63163.16316316317,1.0620641774398155e+17,5.044717726686857e+22,19.578832238372634
oat_c_eff_02,0.005,0,63163.16316316317,1.3713177580029454e+17,5.044711541615248e+22,19.578808233763066
oat_c_eff_02,0.01,-3,63163.16316316317,1.2140886625842846e+17,1.0079425898773172e+23,39.11881683433543
oat_c_eff_02,0.01,-2,63163.16316316317,1.2393419422933726e+17,1.0079425393707568e+23,39.11881487414752
oat_c_eff_02,0.01,-1,63163.16316316317,1.3305241092422547e+17,1.007942357006423e+23,39.11880779648551
oat_c_eff_02,0.01,0,63163.16316316317,1.5277842379740077e+17,1.0079419624861647e+23,39.11879248493318
oat_c_eff_02,0.025,-3,63163.16316316317,1.5347375298333546e+17,2.5183553123523855e+23,97.73878113403208
oat_c_eff_02,0.025,-2,63163.16316316317,1.5458209480556768e+17,2.51835529018555e+23,97.73878027372477
oat_c_eff_02,0.025,-1,63163.16316316317,1.586079822070625e+17,2.5183552096678004e+23,97.7387771487858
oat_c_eff_02,0.025,0,63163.16316316317,1.675004043767929e+17,2.518355031819354e+23,97.7387702463879
