time_s,temperature_K,pressure_Pa,quench_active,NH3_mol,N2_mol,H2_mol,CO2_mol,CO_mol,H2O_mol,Fe_mol,FeO_mol,CN_mol,HCN_mol,H2S_mol,HS_mol,cumulative_H2_from_NH3_mol,cumulative_H2_from_Fe_H2O_mol,cumulative_N2_from_NH3_mol
0.0,2800.0,298875739.68200165,0,1.974396553951377e+23,0.0,0.0,9.997841375157636e+19,0.0,5.550843506179199e+22,1.0027755394395202e+20,0.0,0.0,0.0,9.976262363963394e+16,0.0,0.0,0.0,0.0
3158918918.918919,2797.6563602760957,298782973.45136607,0,6.910387938829821e+22,6.4167888003419746e+22,1.9251465805382357e+23,9.99607829427044e+19,1.7630808871968558e+16,5.549744101822765e+22,8.926587957074398e+19,1.1011674373208048e+19,0.0,0.0,9.976262363963394e+16,0.0,1.9250366401025923e+23,1.0994043564336079e+19,6.4167888003419746e+22
6317837837.837838,2795.3127205521914,298690208.13275677,0,2.9615948309270656e+22,8.391185354293352e+22,2.5175304776906224e+23,9.994993841532817e+19,2.847533624820716e+16,5.549094792153033e+22,8.276193834604601e+19,1.7515615597906029e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,1.7487140261657821e+19,8.391185354293352e+22
9476756756.756758,2792.969080828287,298597444.1471727,0,2.9615948309270656e+22,8.391185354293352e+22,2.5175850245101085e+23,9.994076102027257e+19,3.765273130380078e+16,5.548549323958173e+22,7.729807900238915e+19,2.2979474941562892e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,2.294182221025909e+19,8.391185354293352e+22
12635675675.675676,2790.625441104383,298504681.9153726,0,2.9615948309270656e+22,8.391185354293352e+22,2.5176359651959303e+23,9.993219023513394e+19,4.622351644244402e+16,5.5480399170999555e+22,7.219543963507379e+19,2.8082114308878246e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,2.8035890792435802e+19,8.391185354293352e+22
15794594594.594597,2788.2818013804786,298411921.8578688,0,2.9615948309270656e+22,8.391185354293352e+22,2.5176835387916913e+23,9.992418586359398e+19,5.422788798240026e+16,5.547564181142347e+22,6.743007568744677e+19,3.2847478256505262e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,3.2793250368522863e+19,8.391185354293352e+22
18953513513.513515,2785.9381616565743,298319164.39492106,0,2.9615948309270656e+22,8.391185354293352e+22,2.5177279684136635e+23,9.991671038571918e+19,6.170336585720975e+16,5.547119884922624e+22,6.297963801234667e+19,3.729791593160536e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,3.7236212565748154e+19,8.391185354293352e+22
22112432432.432434,2783.59452193267,298226409.9465299,0,2.9615948309270656e+22,8.391185354293352e+22,2.5177694623224228e+23,9.99097287781243e+19,6.868497345208877e+16,5.54670494583503e+22,5.88232655288087e+19,4.145428841514333e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,4.138560344169125e+19,8.391185354293352e+22
25271351351.351353,2781.2508822087657,298133658.93243057,0,2.9615948309270656e+22,8.391185354293352e+22,2.517808214921057e+23,9.9903208346428e+19,7.520540514839483e+16,5.546317419848689e+22,5.494148523369892e+19,4.533606871025311e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,4.526086330510472e+19,8.391185354293352e+22
28430270270.27027,2778.9072424848614,298040911.7720868,0,2.9615948309270656e+22,8.391185354293352e+22,2.5178444076851453e+23,9.989711856913375e+19,8.129518244264534e+16,5.545955492207804e+22,5.1316119047564304e+19,4.896143489638773e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,4.888013971394508e+19,8.391185354293352e+22
31589189189.189194,2776.563602760957,297948168.8846851,0,2.9615948309270656e+22,8.391185354293352e+22,2.5178782100293216e+23,9.98914309521342e+19,8.698279944220394e+16,5.545617468766042e+22,4.793019701294533e+19,5.23473569310067e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,5.22603741315645e+19,8.391185354293352e+22
34748108108.10811,2774.219963037053,297855430.68912786,0,2.9615948309270656e+22,8.391185354293352e+22,2.5179097801148686e+23,9.988611889309585e+19,9.22948584805605e+16,5.54530176791057e+22,4.476787639918742e+19,5.550967754476461e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,5.5417382686284055e+19,8.391185354293352e+22
37907027027.02703,2771.8763233131485,297762697.60402775,0,2.9615948309270656e+22,8.391185354293352e+22,2.517939265602473e+23,9.988115755503575e+19,9.725619654066248e+16,5.545006913034527e+22,4.181436630069474e+19,5.846318764325729e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,5.836593144671663e+19,8.391185354293352e+22
41065945945.94595,2769.5326835892442,297669970.0477016,0,2.9615948309270656e+22,8.391185354293352e+22,2.5179668043539555e+23,9.987652374845183e+19,1.0189000312458926e+17,5.544731525519701e+22,3.905585734585267e+19,6.122169659809936e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,6.111980659497477e+19,8.391185354293352e+22
44224864864.86487,2767.18904386534,297577248.43816435,0,2.9615948309270656e+22,8.391185354293352e+22,2.5179925250865262e+23,9.98721958214148e+19,1.062179301616203e+17,5.544474318193993e+22,3.647945616173663e+19,6.379809778221541e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,6.369187985205378e+19,8.391185354293352e+22
47383783783.78379,2764.8454041414357,297484533.19312304,0,2.9615948309270656e+22,8.391185354293352e+22,2.5180165479828457e+23,9.986815355707231e+19,1.102601945040942e+17,5.5442340892307974e+22,3.4073124265433494e+19,6.620442967851854e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,6.6094169484014445e+19,8.391185354293352e+22
50542702702.702705,2762.5017644175314,297391824.729971,0,2.9615948309270656e+22,8.391185354293352e+22,2.5180389852599448e+23,9.986437807805533e+19,1.1403567352108123e+17,5.544009716459807e+22,3.1825621076516725e+19,6.845193286743531e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,6.833789719391422e+19,8.391185354293352e+22
53701621621.62162,2760.158124693627,297299123.4657817,0,2.9615948309270656e+22,8.391185354293352e+22,2.5180599416998314e+23,9.98608517573129e+19,1.1756199426352093e+17,5.543800152060941e+22,2.972645076710758e+19,7.055110317684445e+19,0.0,0.0,9.976262363963394e+16,0.0,2.5173556062880057e+23,7.0433541182580924e+19,8.391185354293352e+22
