run_id,evidence_class,impactor_mass_kg,impactor_radius_m,water_mass_fraction,impact_angle_deg,contact_impact_parameter,mutual_escape_speed_m_s,impact_speed_m_s,particle_count,initial_conditions
sph_0000,pipeline_validation,1.00875e+23,2339542.7632713798,0.3,60.0,0.8660254037844386,9647.00318817337,9647.00318817337,100000,initial_conditions/sph_0000.hdf5
sph_0001,hpc_resolution_study,1.00875e+23,2339542.7632713798,0.3,60.0,0.8660254037844386,9647.00318817337,9647.00318817337,1000000,initial_conditions/sph_0001.hdf5
sph_0002,pipeline_validation,1.00875e+23,2339542.7632713798,0.5,60.0,0.8660254037844386,9647.00318817337,9647.00318817337,100000,initial_conditions/sph_0002.hdf5
sph_0003,hpc_resolution_study,1.00875e+23,2339542.7632713798,0.5,60.0,0.8660254037844386,9647.00318817337,9647.00318817337,1000000,initial_conditions/sph_0003.hdf5
sph_0004,pipeline_validation,1.00875e+23,2339542.7632713798,0.3,65.0,0.9063077870366499,9647.00318817337,9647.00318817337,100000,initial_conditions/sph_0004.hdf5
sph_0005,hpc_resolution_study,1.00875e+23,2339542.7632713798,0.3,65.0,0.9063077870366499,9647.00318817337,9647.00318817337,1000000,initial_conditions/sph_0005.hdf5
sph_0006,pipeline_validation,1.00875e+23,2339542.7632713798,0.5,65.0,0.9063077870366499,9647.00318817337,9647.00318817337,100000,initial_conditions/sph_0006.hdf5
sph_0007,hpc_resolution_study,1.00875e+23,2339542.7632713798,0.5,65.0,0.9063077870366499,9647.00318817337,9647.00318817337,1000000,initial_conditions/sph_0007.hdf5
sph_0008,pipeline_validation,1.00875e+23,2339542.7632713798,0.3,70.0,0.9396926207859083,9647.00318817337,9647.00318817337,100000,initial_conditions/sph_0008.hdf5
sph_0009,hpc_resolution_study,1.00875e+23,2339542.7632713798,0.3,70.0,0.9396926207859083,9647.00318817337,9647.00318817337,1000000,initial_conditions/sph_0009.hdf5
sph_0010,pipeline_validation,1.00875e+23,2339542.7632713798,0.5,70.0,0.9396926207859083,9647.00318817337,9647.00318817337,100000,initial_conditions/sph_0010.hdf5
sph_0011,hpc_resolution_study,1.00875e+23,2339542.7632713798,0.5,70.0,0.9396926207859083,9647.00318817337,9647.00318817337,1000000,initial_conditions/sph_0011.hdf5
sph_0012,pipeline_validation,1.00875e+23,2339542.7632713798,0.3,75.0,0.9659258262890683,9647.00318817337,9647.00318817337,100000,initial_conditions/sph_0012.hdf5
sph_0013,hpc_resolution_study,1.00875e+23,2339542.7632713798,0.3,75.0,0.9659258262890683,9647.00318817337,9647.00318817337,1000000,initial_conditions/sph_0013.hdf5
sph_0014,pipeline_validation,1.00875e+23,2339542.7632713798,0.5,75.0,0.9659258262890683,9647.00318817337,9647.00318817337,100000,initial_conditions/sph_0014.hdf5
sph_0015,hpc_resolution_study,1.00875e+23,2339542.7632713798,0.5,75.0,0.9659258262890683,9647.00318817337,9647.00318817337,1000000,initial_conditions/sph_0015.hdf5
sph_0016,pipeline_validation,1.00875e+23,2339542.7632713798,0.3,60.0,0.8660254037844386,9647.00318817337,11576.403825808044,100000,initial_conditions/sph_0016.hdf5
sph_0017,hpc_resolution_study,1.00875e+23,2339542.7632713798,0.3,60.0,0.8660254037844386,9647.00318817337,11576.403825808044,1000000,initial_conditions/sph_0017.hdf5
sph_0018,pipeline_validation,1.00875e+23,2339542.7632713798,0.5,60.0,0.8660254037844386,9647.00318817337,11576.403825808044,100000,initial_conditions/sph_0018.hdf5
sph_0019,hpc_resolution_study,1.00875e+23,2339542.7632713798,0.5,60.0,0.8660254037844386,9647.00318817337,11576.403825808044,1000000,initial_conditions/sph_0019.hdf5
sph_0020,pipeline_validation,1.00875e+23,2339542.7632713798,0.3,65.0,0.9063077870366499,9647.00318817337,11576.403825808044,100000,initial_conditions/sph_0020.hdf5
sph_0021,hpc_resolution_study,1.00875e+23,2339542.7632713798,0.3,65.0,0.9063077870366499,9647.00318817337,11576.403825808044,1000000,initial_conditions/sph_0021.hdf5
sph_0022,pipeline_validation,1.00875e+23,2339542.7632713798,0.5,65.0,0.9063077870366499,9647.00318817337,11576.403825808044,100000,initial_conditions/sph_0022.hdf5
sph_0023,hpc_resolution_study,1.00875e+23,2339542.7632713798,0.5,65.0,0.9063077870366499,9647.00318817337,11576.403825808044,1000000,initial_conditions/sph_0023.hdf5
