particle,time_yr,distance_au,relative_speed_km_s,collided
tp_000000,1.1000000000000005,20.47247836934674,23.739499984400215,False
tp_000001,0.32,28.409235823040955,24.227766716118285,False
tp_000002,0.8000000000000004,23.76846106990972,24.051446215748406,False
tp_000003,1.3000000000000007,22.435804255804488,23.48637351926705,False
tp_000004,0.1,23.274028543385878,24.173781241448907,False
tp_000005,0.9000000000000005,21.07148916247176,23.966568110369643,False
tp_000006,1.8000000000000012,24.60132257959708,24.116128371342793,False
tp_000007,0.1,22.190537971021225,23.991901008892786,False
tp_000008,1.8000000000000012,27.84785088801495,24.48215650643326,False
tp_000009,0.21999999999999997,27.28479333941579,24.392250490886518,False
tp_000010,1.0000000000000004,23.08196354068822,24.20245988295762,False
tp_000011,1.700000000000001,24.24700600131911,23.88601984936597,False
tp_000012,1.9000000000000012,26.55062699567628,24.540962890319474,False
tp_000013,1.5000000000000009,28.825768159065227,23.842051387702178,False
tp_000014,0.4000000000000001,28.635299847651204,24.037190672053345,False
tp_000015,0.9000000000000005,23.48523391615688,24.22979374879401,False
tp_000016,1.9000000000000012,27.24308372141413,24.60300302862125,False
tp_000017,0.6000000000000002,20.757355580560898,22.994550119368636,False
tp_000018,0.21999999999999997,23.45742745486845,23.89492165181141,False
tp_000019,1.2000000000000006,27.785811386068467,24.48369924540388,False
tp_000020,0.32,28.14865022937925,24.104920225015388,False
tp_000021,0.32,28.591144404679913,24.083910825809095,False
tp_000022,0.21999999999999997,22.035546923653484,23.687513012235673,False
tp_000023,0.1,25.683842429116545,24.427632829766576,False
tp_000024,1.8000000000000012,28.550406515553064,24.472189583679068,False
tp_000025,0.5000000000000001,28.793251642442808,23.87674180829231,False
tp_000026,1.1000000000000005,23.507069193235637,24.154126036879475,False
tp_000027,1.0000000000000004,26.35586447129433,24.611744031801226,False
tp_000028,0.8000000000000004,21.720028949412953,23.794388847994053,False
tp_000029,0.9000000000000005,27.19518727980715,24.59759812398035,False
tp_000030,2.0000000000000013,28.22360498462221,24.877408795118157,False
tp_000031,1.8000000000000012,21.47210888731568,23.655211725463975,False
